"state","NumberOfCastlesState"
"Alabama",5
"Alaska",2
"Arizona",8
"Arkansas",8
"California",20
"Colorado",9
"Connecticut",7
"Delaware",1
"District of Columbia",2
"Florida",8
"Georgia",6
"Hawaii",1
"Idaho",5
"Illinois",8
"Indiana",5
"Iowa",3
"Kansas",5
"Kentucky",5
"Louisiana",5
"Maine",4
"Maryland",5
"Massachusetts",12
"Michigan",7
"Minnesota",5
"Mississippi",4
"Missouri",12
"Montana",2
"Nebraska",1
"Nevada",4
"New Hampshire",5
"New Jersey",6
"New Mexico",6
"New York",26
"North Carolina",9
"North Dakota",1
"Ohio",9
"Oklahoma",5
"Oregon",5
"Pennsylvania",9
"Rhode Island",4
"South Carolina",4
"South Dakota",4
"Tennessee",11
"Texas",18
"Utah",4
"Vermont",4
"Virginia",2
"Washington",5
"West Virginia",3
"Wisconsin",5
"Wyoming",2
"United States",316
